Species name,Strain number,ITS,TEF-1?,RPB2
F. citricola,CPC 27067,LT746242,LT746194,LT746307
,CPC 27069,LT746243,LT746195,LT746308
,CPC 27709,LT746244,LT746196,LT746309
,CPC 27805,LT746245,LT746197,LT746310
,CPC 27813,LT746246,LT746198,LT746311
F. ensiforme,CPC 27190,LT746247,LT746199,LT746312
,CPC 27191,LT746248,LT746200,LT746313
F. oxysporum,CPC 27194,LT746249,LT746201,LT746314
,CPC 27196,LT746250,LT746202,LT746315
,CPC 27700,LT746251,LT746203,LT746316
,CPC 27701,LT746252,LT746204,LT746317
,CPC 27702,LT746253,LT746205,LT746318
,CPC 28190,LT746254,LT746206,LT746319
F. salinense,CPC 26403,LT746239,LT746191,LT746304
,CPC 26457,LT746240,LT746192,LT746305
,CPC 26973,LT746241,LT746193,LT746306
F. sarcochroum,CPC 26369,LT746255,LT746207,LT746320
,CPC 26370,LT746256,LT746208,LT746321
,CPC 26851,LT746257,LT746209,LT746322
,CPC 27921,LT746258,LT746210,LT746323
,CPC 28075,LT746259,LT746211,LT746324
,CPC 28116,LT746260,LT746212,LT746325
,CPC 28118,LT746261,LT746213,LT746326
F. siculi,CPC 27188,LT746262,LT746214,LT746327
,CPC 27189,LT746263,LT746215,LT746328
F.incarnatum,NRRL 32867, GQ505705.1,GQ505616.1,GQ505794.1
,NRRL 13379, GQ505680.1,GQ505591.1,GQ505769.1
,NRRL 32866,GQ505704.1,GQ505615.1,GQ505793.1
,LC13705,MW016532.1,MW594375.1,MW474518.1
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
